#,Paper_ID,R1_Rec,R1_Length,R1_Conf,R2_Rec,R2_Length,R2_Conf,R3_Rec,R3_Length,R3_Conf,MR_Length,Decision
320,r1CE9GWR-,4,999,4,4,582,5,5,339,4,18,Reject
321,ryj0790hb,6,484,4,4,190,4,5,380,4,81,Reject
322,BJhxcGZCW,4,215,3,4,278,4,2,280,5,37,Reject
323,HyY0Ff-AZ,5,178,5,2,215,5,5,123,4,15,Reject
324,BJQRKzbA-,6,637,3,6,347,4,8,651,4,82,Accept (Poster)
325,HkepKG-Rb,7,911,3,5,403,3,4,298,4,260,Reject
326,rJTutzbA-,7,337,4,7,72,3,8,132,5,66,Accept (Oral)
327,Hy-lXyDWG,4,211,4,2,213,5,4,489,5,,
328,HkTEFfZRb,7,746,3,7,280,4,6,172,5,71,Accept (Poster)
329,rkcQFMZRb,7,441,4,7,1373,5,7,216,5,81,Accept (Poster)
330,S17mtzbRb,5,410,5,5,583,4,4,449,4,71,Reject
331,rkpqdGDeM,6,147,4,,,,,,,,
332,S1pWFzbAW,6,375,4,6,421,4,4,759,4,86,Invite to Workshop Track
333,SkA-IE06W,6,598,3,9,280,4,8,263,3,21,Accept (Poster)
334,H15RufWAW,6,482,4,7,255,4,4,622,5,84,Reject
335,BkisuzWRW,8,416,4,8,642,3,7,475,5,79,Accept (Oral)
336,H135uzZ0-,7,165,4,7,122,3,6,63,3,121,Accept (Poster)
337,Hk3ddfWRW,6,305,4,4,545,3,6,180,4,147,Accept (Poster)
338,r1lUOzWCW,4,311,4,7,360,4,6,151,2,58,Accept (Poster)
339,HktXuGb0-,4,299,4,5,379,3,3,563,4,101,Reject
340,HklpCzC6-,5,675,5,4,473,4,4,474,4,11,Reject
341,ryHM_fbA-,6,600,4,4,261,3,2,193,5,117,Reject
342,HklZOfW0W,6,348,3,3,172,3,4,236,3,47,Reject
343,ry80wMW0W,6,284,2,5,355,2,7,441,3,28,Accept (Poster)
344,H1O0KGC6b,5,412,4,3,204,5,4,205,4,28,Reject
345,rkfOvGbCW,6,134,4,6,477,5,8,789,4,53,Accept (Poster)
346,ry_WPG-A-,6,385,2,7,516,3,7,184,3,191,Accept (Poster)
347,SJdCUMZAW,4,250,4,2,410,5,3,541,4,164,Reject
348,BJypUGZ0Z,6,548,4,6,685,5,4,647,3,67,Invite to Workshop Track
349,B1twdMCab,5,482,3,5,642,4,6,180,4,88,Reject
350,ryj38zWRb,4,505,4,6,379,4,6,503,3,213,Reject
351,rJGY8GbR-,7,251,3,5,102,1,5,415,3,58,Invite to Workshop Track
352,ByL48G-AW,4,133,5,4,435,4,3,245,5,36,Reject
353,ryCM8zWRb,8,280,4,4,743,5,6,130,5,85,Reject
354,SJPpHzW0-,5,289,3,4,708,5,4,126,3,38,Reject
355,HJC2SzZCW,8,470,4,5,459,3,4,583,5,162,Accept (Poster)
356,S1sqHMZCb,7,337,3,6,281,3,7,552,3,136,Accept (Poster)
357,rynniUpQM,4,197,4,3,1015,4,3,333,4,,
358,SkJKHMW0Z,3,573,5,5,301,3,5,139,3,218,Reject
359,SJ3dBGZ0Z,5,402,4,5,645,3,5,456,4,59,Reject
360,HJUOHGWRb,6,341,5,6,236,2,6,185,3,91,Reject
361,ByxLBMZCb,6,386,4,5,371,4,6,388,4,86,Invite to Workshop Track
362,SkhQHMW0W,7,592,4,6,243,5,7,212,4,157,Accept (Poster)
363,ryjw_eAaZ,4,573,4,5,263,2,5,555,3,122,Reject
364,H1uR4GZRZ,6,274,3,7,252,4,6,159,4,61,Accept (Poster)
365,r1saNM-RW,5,250,3,7,556,3,5,402,4,99,Reject
366,HJBhEMbRb,6,240,3,6,330,3,4,127,4,55,Reject
367,BJehNfW0-,7,356,4,6,519,4,7,258,3,43,Accept (Poster)
368,HJGcNz-0W,6,384,3,2,315,5,4,375,4,11,Reject
369,Bys_NzbC-,6,173,2,4,277,5,5,342,5,137,Reject
370,HkwBEMWCZ,8,160,3,8,113,3,6,196,4,40,Accept (Poster)
371,Sktm4zWRb,3,596,5,3,526,3,4,769,4,85,Reject
372,S1FQEfZA-,5,614,5,6,201,4,3,214,4,102,Reject
373,SyuWNMZ0W,4,597,4,4,310,4,4,465,5,41,Reject
374,H1WgVz-AZ,7,640,5,5,406,3,9,318,4,82,Accept (Poster)
375,SJDJNzWAZ,4,254,4,4,501,5,5,73,3,105,Invite to Workshop Track
376,H1a37GWCZ,7,272,4,5,170,4,5,574,4,77,Reject
377,Bk6qQGWRb,6,452,4,5,1094,4,5,729,4,279,Reject
378,HkOhuyA6-,3,372,5,4,256,3,7,126,3,74,Reject
379,ryQu7f-RZ,9,480,5,8,647,4,8,324,3,111,Accept (Oral)
380,Sy-dQG-Rb,7,357,3,7,351,3,8,257,3,69,Accept (Poster)
381,SJiHXGWAZ,5,278,3,4,211,5,9,194,5,83,Accept (Poster)
382,r1Dx7fbCW,7,380,5,7,216,4,8,215,4,19,Accept (Poster)
383,ByYPLJA6W,5,215,4,7,517,2,7,223,4,60,Reject
384,ryH_bShhW,3,279,4,3,130,5,2,110,5,53,Reject
385,SJLlmG-AZ,7,145,3,5,251,4,4,264,4,35,Accept (Poster)
386,BkQCGzZ0-,5,133,5,4,249,4,6,178,1,135,Reject
387,rkEtzzWAb,6,319,3,4,522,4,4,233,3,127,Invite to Workshop Track
388,H18uzzWAZ,5,114,3,4,370,5,7,124,3,68,Reject
389,HJWLfGWRb,7,452,3,6,181,3,4,219,2,185,Accept (Poster)
390,HJcSzz-CZ,6,260,5,6,117,4,6,335,4,61,Accept (Poster)
391,B1CQGfZ0b,4,453,4,5,715,4,5,693,3,78,Reject
392,HkfXMz-Ab,7,452,2,8,398,4,7,168,3,295,Accept (Oral)
393,B1EA-M-0Z,4,1018,4,6,406,4,7,171,3,48,Accept (Poster)
394,Syx6bz-Ab,5,387,5,4,267,4,5,182,4,256,Reject
395,rJFOptp6Z,3,161,4,5,271,5,3,493,4,68,Reject
396,B1Lc-Gb0Z,7,535,4,7,65,4,7,423,3,103,Accept (Poster)
397,SJvu-GW0b,4,69,4,4,578,4,4,215,3,32,Reject
398,Skz_WfbCZ,9,145,4,6,145,3,7,538,4,102,Accept (Poster)
399,HyRnez-RW,7,401,4,5,363,4,6,268,4,21,Accept (Poster)
400,B1e5ef-C-,7,110,3,7,60,1,6,652,4,75,Accept (Poster)
401,Skx5txzb0W,4,347,4,6,369,4,4,403,4,48,Reject
402,Hk-FlMbAZ,3,972,3,4,202,3,5,347,3,99,Reject
403,r1ISxGZRb,5,232,2,5,344,3,5,355,3,56,Reject
404,ryZElGZ0Z,4,38,1,4,387,4,5,352,4,50,Reject
405,SJA7xfb0b,8,584,4,6,187,3,6,242,4,22,Accept (Poster)
406,BkA7gfZAb,5,164,4,6,551,4,6,695,3,142,Invite to Workshop Track
407,B1i7ezW0-,5,411,4,4,566,5,7,31,2,83,Reject
408,rJwelMbR-,7,244,4,7,242,4,4,694,4,77,Accept (Poster)
409,S1JHhv6TW,7,225,4,9,145,4,8,555,3,65,Accept (Oral)
410,S1p31z-Ab,6,132,4,6,216,3,5,288,5,114,Accept (Poster)
411,rJl3yM-Ab,6,130,2,8,154,3,6,280,4,74,Accept (Poster)
412,Hk__kGbCW,5,263,4,6,213,4,4,254,4,79,Reject
413,B14uJzW0b,4,430,4,6,446,3,6,78,2,173,Invite to Workshop Track
414,rJr4kfWCb,2,155,5,3,234,4,3,142,4,119,Reject
415,B1wN2f2-G,5,278,4,5,125,5,4,50,5,,
416,SJCPLLpaW,4,234,5,5,257,4,7,237,4,26,Reject
417,H1bM1fZCW,6,270,2,4,459,4,4,371,4,41,Reject
418,B1KJJf-R-,4,542,4,5,349,4,7,84,4,25,Invite to Workshop Track
419,SknC0bW0-,5,166,4,4,349,5,6,336,5,140,Reject
420,rJssAZ-0-,4,854,4,4,268,4,5,600,4,103,Reject
421,Skvin0GWM,4,569,5,3,82,5,,,,,
422,rk6H0ZbRb,5,149,2,8,224,3,3,435,4,147,Invite to Workshop Track
423,SJFM0ZWCb,3,277,5,5,254,4,4,413,4,85,Reject
424,r1pW0WZAW,3,112,4,7,652,5,6,93,4,212,Invite to Workshop Track
425,S1HlA-ZAZ,6,544,4,7,160,3,7,112,2,136,Accept (Poster)
426,H1mCp-ZRZ,7,264,3,7,121,3,7,428,4,66,Accept (Poster)
427,H1K6Tb-AZ,4,439,4,5,244,2,4,243,2,58,Reject
428,SySpa-Z0Z,7,221,3,4,556,3,4,238,4,56,Reject
429,rJHcpW-CW,3,751,5,6,497,4,5,114,4,88,Reject
430,r1drp-WCZ,3,388,5,5,265,5,7,450,5,52,Reject
431,HyfHgI6aW,4,480,5,6,328,2,9,544,4,67,Accept (Poster)
432,r17Q6WWA-,5,132,5,6,332,4,6,167,4,38,Reject
433,SJgf6Z-0W,3,332,4,7,409,3,4,414,4,72,Reject
434,SJme6-ZR-,6,178,1,4,125,4,6,132,5,179,Reject
435,rkh-agjMG,3,625,4,3,707,3,3,880,3,,
436,Sy3nGCYXz,3,258,4,3,182,3,5,217,4,,
437,Skw0n-W0Z,7,263,4,4,792,4,7,196,3,40,Accept (Poster)
438,rJma2bZCW,6,637,4,3,593,4,5,285,4,181,Reject
439,SJJinbWRZ,7,515,4,6,352,3,7,499,5,45,Accept (Poster)
440,ryOegkTXf,5,145,3,4,135,4,4,297,4,,
441,r1Oen--RW,5,253,3,4,350,4,4,395,4,81,Reject
442,H1tSsb-AW,7,361,4,8,370,3,6,484,4,15,Accept (Oral)
443,Bys4ob-Rb,8,285,4,8,228,4,5,189,3,99,Accept (Poster)
444,ByJ7obb0b,4,213,4,5,261,4,2,1546,4,124,Reject
445,SyF7Erp6W,3,838,2,2,808,5,3,243,1,9,Reject
446,HJWpQCa7z,5,111,4,4,186,4,5,237,3,,
447,HyBbjW-RW,4,321,5,4,255,5,4,493,5,171,Reject
448,r1TA9ZbA-,7,140,3,4,379,4,5,405,4,240,Reject
449,HJsk5-Z0W,3,95,5,4,234,5,4,407,3,8,Reject
450,SyKoKWbC-,6,507,3,6,228,4,6,402,3,113,Invite to Workshop Track
451,rJe7FW-Cb,5,446,4,5,202,4,6,155,4,89,Reject
452,H15odZ-C-,6,200,3,5,203,4,7,135,4,58,Accept (Poster)
453,H196sainb,9,428,4,3,312,5,8,190,3,84,Accept (Poster)
454,SyL9u-WA-,7,146,4,5,209,4,5,142,3,95,Reject
455,BkwHObbRZ,6,432,3,9,191,3,7,172,3,122,Accept (Poster)
456,S18Su--CW,6,163,2,6,346,4,6,364,4,55,Accept (Poster)
457,rJVruWZRW,2,129,4,4,340,4,4,195,4,90,Reject
458,BkCV_W-AZ,4,424,4,7,222,4,5,405,5,66,Invite to Workshop Track
459,Bkl1uWb0Z,3,213,5,6,686,5,5,271,4,117,Reject
460,SyvCD-b0W,4,338,5,3,538,4,4,640,5,23,Reject
461,Hyg0vbWC-,7,401,5,8,364,3,7,452,4,143,Accept (Poster)
462,HJJ0w--0W,4,914,4,5,362,3,6,369,4,41,Reject
463,B1X4DWWRb,5,435,3,8,123,3,7,401,4,174,Reject
464,BJubPWZRW,2,251,4,5,212,4,7,228,4,74,Invite to Workshop Track
465,S1FFLWWCZ,4,308,4,6,583,4,3,820,4,45,Reject
466,B1suU-bAW,5,286,3,5,803,5,5,608,4,88,Reject
467,ryF-cQ6T-,6,402,3,4,626,3,3,173,2,103,Reject
468,HJYQLb-RW,4,170,4,5,291,3,7,262,3,72,Invite to Workshop Track
469,SJ60SbW0b,4,139,4,5,233,4,7,141,4,65,Reject
470,Sk7cHb-C-,6,633,3,3,100,3,4,494,4,67,Reject
471,ByquB-WC-,4,198,4,4,381,4,4,310,4,129,Reject
472,B1kIr-WRb,5,538,3,5,260,5,5,961,5,104,Reject
473,BJJLHbb0-,8,96,5,8,770,4,8,323,4,63,Accept (Poster)
474,By3VrbbAb,4,827,5,6,169,3,5,297,3,25,Reject
475,ryserbZR-,5,356,4,6,175,3,5,399,3,161,Reject
476,HyRVBzap-,6,237,4,6,261,4,5,337,4,90,Accept (Poster)
477,Byj54-bAW,4,1199,3,4,409,3,5,366,3,81,Reject
478,rkQu4Wb0Z,5,292,5,5,556,3,5,260,4,57,Reject
479,HkCnm-bAb,5,1220,3,6,281,3,6,477,3,192,Invite to Workshop Track
480,HyEi7bWR-,7,515,3,6,182,3,5,136,4,151,Reject
481,rJv4XWZA-,6,339,4,5,369,4,4,154,4,61,Reject
482,HJ4YGZ-AW,4,544,5,5,547,4,4,309,4,86,Reject
483,B1ydPgTpW,6,207,5,4,473,4,4,258,4,24,Reject
484,HJXOfZ-AZ,3,479,3,3,215,5,5,588,4,56,Reject
485,BJRxfZbAW,6,338,5,4,296,3,4,255,4,80,Reject
486,SJzRZ-WCZ,3,220,4,7,328,4,7,445,3,130,Accept (Poster)
487,ry-TW-WAb,7,137,5,7,512,4,7,350,3,26,Accept (Poster)
488,B1Z3W-b0W,5,213,4,6,590,5,5,590,4,102,Invite to Workshop Track
489,B1hcZZ-AW,5,229,4,9,525,4,4,35,4,78,Accept (Poster)
490,HksxTdiWz,4,455,4,5,725,4,4,376,4,,
491,ryDNZZZAW,6,589,3,6,451,5,6,136,5,152,Invite to Workshop Track
492,rkHVZWZAZ,7,1095,4,7,246,2,7,287,4,35,Accept (Poster)
493,SyAbZb-0Z,5,440,2,7,310,3,4,329,4,80,Reject
494,H1Dy---0Z,9,240,4,7,422,4,6,183,3,121,Accept (Poster)
495,HkZy-bW0-,7,513,5,6,550,4,8,494,4,19,Accept (Poster)
496,HkcTe-bR-,4,323,2,7,153,4,6,127,3,66,Invite to Workshop Track
497,ryG6xZ-RZ,5,234,4,7,246,4,5,321,3,164,Invite to Workshop Track
498,HyH9lbZAW,7,281,3,7,637,4,7,255,2,106,Accept (Poster)
499,BJluxbWC-,5,703,4,5,192,5,4,442,4,13,Reject
500,HJIoJWZCZ,5,281,4,7,379,3,8,376,5,109,Accept (Poster)
501,HJaDJZ-0W,5,483,3,7,171,4,5,502,4,71,Reject
502,rJ8X2VT7M,4,507,4,5,292,3,4,257,4,,
503,HJRV1ZZAW,4,588,4,7,172,3,5,201,4,125,Reject
504,BkBCjzp7G,4,685,4,3,800,5,5,420,4,,
505,SyJ7ClWCb,4,559,3,8,192,4,7,250,3,73,Accept (Poster)
506,S1EzRgb0W,4,209,5,4,483,3,6,426,4,68,Reject
507,Sy1f0e-R-,8,195,3,7,180,4,5,172,5,223,Reject
508,rk1J969Xz,4,250,4,4,361,4,3,288,4,,
509,HyunpgbR-,4,1203,5,7,362,3,5,376,3,43,Reject
510,HJtPtdqQG,4,568,4,5,741,4,4,1664,4,,
511,Hkc-TeZ0W,5,331,4,5,296,4,8,175,5,90,Accept (Poster)
512,Hy_o3x-0b,5,468,4,3,351,3,6,375,4,57,Reject
513,rkWN3g-AZ,3,529,5,4,367,4,4,1043,3,18,Reject
514,BkTQ8UckG,4,182,4,,,,,,,,
515,r1VVsebAZ,8,1139,5,4,776,4,6,203,3,297,Accept (Poster)
516,S14EogZAZ,5,364,4,4,599,4,5,332,3,97,Reject
517,rkw-jlb0W,8,169,4,5,257,3,5,55,1,92,Reject
518,BJ8lbVAfz,4,711,4,2,496,5,2,295,5,,
519,ByQZjx-0-,6,116,2,5,1013,3,5,485,2,325,Invite to Workshop Track
520,H1xJjlbAZ,6,127,2,4,171,4,5,752,5,113,Reject
521,rJbs5gbRW,2,99,5,3,305,4,3,393,4,68,Reject
522,H1wt9x-RW,8,119,3,8,447,4,4,233,3,65,Reject
523,Hkbd5xZRb,8,404,4,7,124,3,9,149,4,88,Accept (Oral)
524,SkT5Yg-RZ,8,199,4,5,192,3,8,361,4,92,Accept (Poster)
525,BkktYCkZf,3,527,4,3,145,2,3,522,4,,
526,ryDUFeWRW,4,524,5,4,482,4,4,687,4,56,Reject
527,HkgNdt26Z,5,347,4,4,93,3,4,155,4,154,Accept (Poster)
528,HJ1HFlZAb,3,290,5,3,526,5,5,462,3,64,Reject
529,r17lFgZ0Z,4,152,4,5,246,4,5,286,3,95,Reject
530,S1Ow_e-Rb,3,220,4,3,1213,5,2,981,5,49,Reject
531,r154_g-Rb,5,382,4,4,241,5,7,533,3,69,Reject
532,ry0WOxbRZ,5,508,4,4,715,5,5,279,4,45,Reject
533,SyqAPeWAZ,6,493,2,3,395,5,4,890,4,51,Reject
534,rJrTwxbCb,5,637,2,4,571,4,5,1856,4,230,Invite to Workshop Track
535,H1cKvl-Rb,6,498,5,7,239,4,5,202,3,108,Reject
536,H1A5ztj3b,4,415,3,4,404,4,4,178,3,174,Reject
537,HytSvlWRZ,4,510,5,5,158,3,5,297,4,196,Reject
538,r1kNDlbCb,5,245,4,4,485,4,6,385,4,141,Reject
539,rkEfPeZRb,6,196,4,4,498,4,7,174,4,55,Invite to Workshop Track
540,Hk6kPgZA-,9,130,5,9,119,4,9,137,4,365,Accept (Oral)
541,rkHywl-A-,6,418,4,6,661,2,7,266,3,117,Accept (Poster)
542,rkN2Il-RZ,5,375,4,6,316,4,7,948,4,55,Accept (Poster)
543,HymYLebCb,3,206,3,6,262,3,6,157,3,79,Reject
544,HyWrIgW0W,8,314,5,5,239,4,6,224,4,18,Accept (Poster)
545,B1gJ1L2aW,8,407,3,6,53,1,7,312,4,47,Accept (Oral)
546,ByKWUeWA-,6,453,4,6,529,3,6,352,3,22,Accept (Poster)
547,Sk0pHeZAW,4,175,4,4,466,5,2,492,3,56,Reject
548,B1J_rgWRW,6,327,4,6,450,5,7,265,4,26,Accept (Poster)
549,rkZvSe-RZ,6,115,2,6,390,4,6,357,4,110,Accept (Poster)
550,rJoXrxZAZ,6,294,5,4,466,5,4,169,5,54,Reject
551,HylgYB3pZ,5,405,4,5,175,4,4,361,4,74,Reject
552,SJyfrl-0b,5,292,4,6,351,4,4,463,5,27,Invite to Workshop Track
553,HkJ1rgbCb,5,378,4,5,611,4,5,124,4,79,Reject
554,By0ANxbRW,4,574,3,3,174,3,3,158,5,31,Reject
555,HyDAQl-AW,5,758,4,4,156,5,4,479,4,21,Reject
556,SJICXeWAb,6,262,4,5,391,4,3,342,5,34,Reject
557,BygpQlbA-,4,637,3,7,414,3,5,539,4,60,Invite to Workshop Track
558,ByOnmlWC-,8,694,5,6,229,4,3,267,4,125,Accept (Poster)
559,S1fHmlbCW,5,289,5,5,365,4,2,943,3,59,Reject
560,H1-nGgWC-,6,424,4,6,361,4,6,1025,4,37,Accept (Poster)
561,HyIFzx-0b,5,183,3,5,227,3,3,713,4,92,Reject
562,rJUYGxbCW,7,391,4,7,197,4,7,412,4,92,Accept (Poster)
563,SJtfOEn6-,4,228,4,4,256,4,4,422,4,54,Reject
564,H1rRWl-Cb,5,448,4,7,805,5,5,319,5,125,Reject
565,Hy1d-ebAb,5,630,3,6,231,3,6,484,4,170,Invite to Workshop Track
566,HJMN-xWC-,5,117,5,4,239,2,5,413,2,73,Reject
567,Hki-ZlbA-,5,530,4,4,270,4,6,374,3,85,Reject
568,Sy2ogebAW,6,455,4,5,700,4,7,625,5,163,Accept (Poster)
569,SkmiegW0b,6,398,4,5,696,3,5,199,3,135,Invite to Workshop Track
570,HJjvxl-Cb,3,831,4,7,377,4,5,376,4,83,Invite to Workshop Track
571,rJ4uaX2aW,5,306,3,4,194,4,5,322,5,135,Reject
572,SysEexbRb,7,251,3,7,465,5,6,327,4,35,Accept (Poster)
573,ByUEelW0-,4,326,3,4,325,3,3,250,4,31,Reject
574,Hk5elxbRW,6,490,5,7,134,4,8,140,4,144,Accept (Poster)
575,SyUkxxZ0b,4,553,4,5,254,3,3,332,3,93,Invite to Workshop Track
576,rJR2ylbRb,5,457,5,5,86,4,3,352,4,34,Reject
577,Sk2u1g-0-,8,220,4,7,275,4,9,653,2,44,Accept (Oral)
578,B1nLkl-0Z,6,170,4,6,231,4,5,341,3,71,Reject
579,B1ae1lZRb,7,241,4,7,190,4,8,121,4,60,Accept (Poster)
580,HJr4QJ26W,4,298,5,5,365,3,4,525,4,53,Reject
581,HydnA1WCb,4,318,4,3,601,4,3,252,4,77,Reject
582,HJZiRkZC-,7,268,4,5,160,3,5,437,5,80,Reject
583,S1tWRJ-R-,4,398,4,5,161,3,5,255,4,43,Reject
584,rkrWCJWAW,6,184,3,5,183,4,5,511,4,64,Reject
585,rkYgAJWCZ,4,217,4,3,248,4,4,337,4,59,Reject
586,SJ-C6JbRW,7,227,4,7,331,4,8,149,5,155,Accept (Poster)
587,r1BRfhiab,6,229,3,3,372,4,4,310,4,24,Reject
588,rkmtTJZCb,4,387,4,4,467,4,4,127,4,66,Reject
589,r1Ddp1-Rb,6,411,4,7,612,4,6,415,4,44,Accept (Poster)
590,HyiS6k-CW,3,381,5,5,205,4,4,348,5,37,Reject
591,B1p461b0W,5,426,4,4,333,5,5,258,5,62,Reject
592,B1zlp1bRW,7,622,3,6,217,3,6,633,3,60,Accept (Poster)
593,rkcya1ZAW,3,151,3,6,123,4,6,330,4,46,Reject
594,SyWvxWYQf,5,188,5,7,387,4,5,427,4,,
595,HJ39YKiTb,4,175,5,3,565,4,3,812,5,71,Reject
596,BkoXnkWAb,4,217,4,5,375,5,5,311,3,28,Invite to Workshop Track
597,HkL7n1-0b,8,239,3,8,278,3,8,190,4,101,Accept (Oral)
598,Byt3oJ-0W,8,679,4,7,433,4,6,245,2,85,Accept (Poster)
599,S1viikbCW,4,1576,4,4,692,3,5,500,2,18,Reject
600,SJahqJZAW,5,505,4,3,292,5,8,212,4,99,Reject
601,BJk59JZ0b,6,238,2,4,220,4,7,401,4,70,Accept (Poster)
602,By3v9k-RZ,4,278,4,5,409,4,4,167,3,77,Invite to Workshop Track
603,B1QgVti6Z,3,136,3,7,169,3,7,449,3,39,Accept (Poster)
604,BkDB51WR-,6,306,2,5,118,4,6,171,4,55,Reject
605,B1D6ty-A-,6,439,4,4,419,4,7,261,5,71,Reject
606,BJ0hF1Z0b,7,178,4,7,243,2,8,177,4,94,Accept (Poster)
607,SkBYYyZRZ,4,194,4,5,131,5,7,141,5,76,Invite to Workshop Track
608,r1ZdKJ-0W,7,192,4,6,468,4,7,517,3,39,Accept (Poster)
609,rk8wKk-R-,8,312,4,5,439,4,4,68,3,87,Invite to Workshop Track
610,B1EPYJ-C-,5,329,3,7,590,5,5,206,5,82,Reject
611,H1DJFybC-,4,434,4,6,623,4,4,202,2,25,Reject
612,HyiAuyb0b,7,677,4,7,266,4,7,342,4,20,Accept (Poster)
613,HkUR_y-RZ,8,241,4,5,471,5,7,185,3,182,Accept (Poster)
614,rk8R_JWRW,5,619,4,5,353,3,4,287,4,190,Reject
615,BkeC_J-R-,4,599,5,5,373,3,3,163,4,75,Reject
616,BJjquybCW,4,292,4,7,23,2,5,146,2,59,Invite to Workshop Track
617,SyzKd1bCW,8,542,4,7,1255,3,6,148,2,127,Accept (Poster)
618,H1OQukZ0-,4,322,3,5,389,3,4,499,3,43,Reject
619,rkGZuJb0b,5,274,3,5,820,4,4,151,4,59,Reject
620,rJ1RPJWAW,7,667,4,6,281,4,4,345,4,118,Reject
621,SyjjD1WRb,4,229,4,4,952,4,4,196,4,48,Reject
622,S1EwLkW0W,4,512,4,4,430,4,6,127,3,118,Reject
623,rJ8rHkWRb,3,235,4,5,218,4,4,262,5,29,Reject
624,SkBHr1WRW,7,197,3,4,551,4,4,480,4,81,Reject
625,BJB7fkWR-,3,214,3,2,162,4,4,184,5,29,Reject
626,HyHmGyZCZ,2,137,4,4,460,5,3,124,4,100,Reject
627,BJ78bJZCZ,4,226,5,6,147,4,3,210,4,38,Reject
628,Bk9zbyZCZ,7,261,4,9,415,5,6,340,5,60,Accept (Poster)
629,rJlMAAeC-,3,82,4,7,605,4,7,533,4,205,Accept (Poster)
630,HJGXzmspb,7,364,4,7,382,3,8,267,4,24,Accept (Oral)
631,Syjha0gAZ,5,407,4,7,162,3,4,469,3,79,Reject
632,ByhthReRb,6,301,3,4,408,3,3,365,3,74,Reject
633,HJ3d2Ax0-,5,113,2,7,397,3,6,106,3,185,Invite to Workshop Track
634,BkQqq0gRb,6,66,3,6,327,4,6,147,2,35,Accept (Poster)
635,HkxF5RgC-,6,208,2,6,243,4,6,151,2,53,Accept (Poster)
636,ry4S90l0b,3,192,5,4,233,4,3,224,4,67,Reject
637,Bk8ZcAxR-,6,370,3,9,155,5,7,959,4,28,Accept (Poster)
638,HkjL6MiTb,4,281,4,4,309,4,4,104,5,62,Reject
639,S1fduCl0b,9,96,5,4,289,5,4,404,2,133,Reject
640,r1RQdCg0W,6,410,4,6,424,4,6,302,4,72,Reject
641,HkanP0lRW,3,98,5,6,418,5,4,135,5,88,Reject
642,BkrSv0lA-,8,124,3,6,217,4,6,139,4,44,Accept (Poster)
643,r1HNP0eCW,2,464,5,6,205,4,2,213,4,109,Reject
644,B1QRgziT-,7,363,4,8,241,3,7,246,2,93,Accept (Oral)
645,BJgd7m0xRZ,4,220,4,4,328,4,4,391,4,19,Reject
646,Hk99zCeAb,8,327,4,1,575,4,8,686,4,225,Accept (Oral)
647,SkFqf0lAZ,6,511,3,5,181,5,8,119,5,180,Accept (Poster)
