#,Paper_ID,R1_Rec,R1_Length,R1_Conf,R2_Rec,R2_Length,R2_Conf,R3_Rec,R3_Length,R3_Conf,MR_Length,Decision
648,HJhIM0xAW,5,399,4,6,220,3,7,1010,4,67,Accept (Poster)
649,HJw8fAgA-,6,366,4,5,323,4,8,342,4,67,Reject
650,SkymMAxAb,5,281,4,4,206,4,4,330,4,34,Reject
651,Sy3XxCx0Z,6,550,5,5,304,4,3,259,5,119,Invite to Workshop Track
652,SySaJ0xCZ,6,255,4,5,285,5,4,417,4,76,Invite to Workshop Track
653,r1hsJCe0Z,4,305,4,6,473,4,6,213,4,175,Invite to Workshop Track
654,BkVf1AeAZ,4,337,5,4,264,3,3,171,4,74,Reject
655,SJzMATlAZ,6,438,3,3,370,5,7,346,4,166,Reject
656,B1ZvaaeAZ,5,202,3,9,240,4,5,172,4,241,Accept (Poster)
657,H1Ww66x0-,3,316,4,2,289,5,4,221,4,16,Reject
658,Syhr6pxCW,8,218,4,6,393,4,7,74,3,43,Accept (Poster)
659,SyPMT6gAb,4,678,4,5,319,5,7,343,3,52,Reject
660,rk3pnae0b,3,459,5,4,450,4,8,205,3,201,Invite to Workshop Track
661,BJjBnN9a-,5,514,3,6,195,2,4,449,4,213,Reject
662,ryb83alCZ,4,255,4,4,350,4,4,529,5,81,Reject
663,rJaE2alRW,4,246,5,5,405,3,5,295,4,75,Reject
664,Hk6WhagRW,6,636,3,7,158,4,5,634,4,61,Accept (Poster)
665,Bk_fs6gA-,4,139,1,4,500,2,3,94,4,29,Reject
666,Hko85plCW,7,374,5,6,406,4,8,151,4,99,Accept (Poster)
667,S1XXq6lRW,4,225,3,2,195,4,3,351,4,23,Reject
668,rJhR_pxCZ,3,515,5,4,310,4,5,247,4,46,Reject
669,ByJHuTgA-,7,79,2,5,132,5,8,573,3,114,Accept (Poster)
670,ByzvHagA-,6,175,3,5,424,4,4,408,3,21,Reject
671,BJOFETxR-,8,364,4,8,216,4,8,171,4,157,Accept (Oral)
672,ry4SNTe0-,3,322,4,2,350,4,3,210,5,60,Reject
673,H1NV4agCb,5,649,4,3,406,5,4,312,4,36,Reject
674,ByS1VpgRZ,6,339,4,7,264,5,6,204,4,65,Accept (Poster)
675,HkCsm6lRb,7,120,3,7,312,4,7,302,3,8,Accept (Poster)
676,H1vEXaxA-,8,329,5,7,407,3,5,498,5,177,Accept (Poster)
677,Skk3Jm96W,7,295,4,6,1040,5,4,515,4,118,Invite to Workshop Track
678,BJcAWaeCW,3,231,4,4,418,4,4,316,5,38,Reject
679,SkFAWax0-,8,316,4,5,899,4,6,376,4,165,Accept (Poster)
680,HyyP33gAZ,5,403,4,7,291,4,8,452,4,83,Accept (Poster)
681,H1Y8hhg0b,6,233,3,6,508,3,7,341,4,25,Accept (Poster)
682,S1Q79heRW,3,146,5,7,231,3,3,527,5,35,Reject
683,S1347ot3b,2,188,5,2,144,5,3,545,5,85,Reject
684,rJWechg0Z,6,473,5,7,263,5,8,242,4,21,Accept (Poster)
685,By5SY2gA-,6,206,3,4,360,5,4,207,4,47,Reject
686,Sy_MK3lAZ,5,398,4,5,301,3,4,506,4,14,Reject
687,Hkp3uhxCW,5,528,4,6,244,4,6,349,5,108,Reject
688,rJBiunlAW,7,102,4,8,321,5,4,302,5,111,Reject
689,Skdvd2xAZ,9,225,4,6,224,4,6,409,4,47,Accept (Poster)
690,SkfNU2e0Z,3,178,4,5,332,4,5,112,3,117,Reject
691,BkN_r2lR-,7,248,4,5,173,4,4,721,3,87,Accept (Poster)
692,r1AMITFaW,3,444,4,4,303,4,4,208,4,111,Reject
693,S1v4N2l0-,6,221,5,6,542,4,6,979,3,69,Accept (Poster)
694,SyVVXngRW,6,116,4,3,869,4,5,477,4,70,Reject
695,rk4Fz2e0b,6,301,3,5,341,3,6,210,3,70,Invite to Workshop Track
696,SkxqZngC-,7,577,4,3,357,4,5,140,2,115,Reject
697,BJDEbngCZ,6,118,4,5,31,3,5,192,3,26,Reject
698,ByBAl2eAZ,6,309,4,7,469,4,7,714,5,205,Accept (Poster)
699,SkAK2jg0b,3,140,4,4,184,5,4,77,5,9,Reject
700,SJxE3jlA-,4,523,5,4,361,4,4,313,5,64,Reject
701,HkNGsseC-,6,259,4,8,143,3,6,518,4,59,Accept (Poster)
702,Hy7fDog0b,7,328,4,7,222,4,8,311,4,30,Accept (Oral)
703,rkhxwltab,2,351,3,3,184,5,6,599,4,85,Reject
704,r1iuQjxCZ,7,352,3,5,639,4,9,624,3,101,Accept (Poster)
705,SyW4Gjg0W,5,537,5,5,292,4,4,198,5,77,Reject
706,H1cWzoxA-,6,257,4,9,201,4,6,231,4,24,Accept (Poster)
707,rkxY-sl0W,6,433,4,4,605,3,4,493,4,56,Invite to Workshop Track
708,SkHkeixAW,5,539,5,4,256,4,4,222,5,34,Reject
709,rJa90ceAb,4,402,4,5,342,4,4,171,5,35,Reject
710,SJtChcgAW,6,311,3,5,179,3,5,398,4,72,Reject
711,B13EC5u6W,4,488,3,8,310,2,7,632,4,101,Reject
712,SJw03ceRW,6,167,4,4,237,3,4,356,4,70,Reject
713,r1q7n9gAb,5,713,5,7,204,4,8,283,4,109,Accept (Poster)
714,rk3b2qxCW,6,343,3,5,250,4,5,237,5,44,Reject
715,BJvWjcgAZ,4,640,4,6,196,4,5,221,4,27,Reject
716,SJVHY9lCb,4,246,4,4,214,4,4,97,5,9,Reject
717,rJWrK9lAb,5,354,4,3,229,5,5,490,5,79,Invite to Workshop Track
718,Sk9yuql0Z,6,312,4,7,168,4,6,207,3,225,Accept (Poster)
719,SyjsLqxR-,3,293,4,6,243,3,6,114,3,79,Reject
720,BJy0fcgRZ,6,166,4,5,335,5,5,242,4,72,Invite to Workshop Track
721,H1MczcgR-,7,278,4,6,116,4,8,621,3,76,Accept (Poster)
722,BJQPG5lR-,6,1432,4,6,302,4,6,759,5,43,Reject
723,HkbmWqxCZ,4,851,5,5,613,4,4,134,4,47,Reject
724,BkoCeqgR-,4,483,4,3,330,4,3,216,4,9,Reject
725,r1nmx5l0W,5,96,3,4,594,5,7,347,3,136,Reject
726,B1CNpYg0-,5,257,4,7,125,3,5,790,4,191,Reject
727,HJDUjKeA-,3,495,4,4,282,3,4,267,4,10,Reject
728,HkwrqtlR-,3,741,5,3,328,4,3,162,5,15,Reject
729,HyXBcYg0b,7,278,4,3,416,4,6,197,3,113,Reject
730,HJqUtdOaZ,1,132,5,3,376,4,2,79,3,149,Reject
731,HJDV5YxCW,6,317,4,5,233,4,4,127,4,40,Reject
732,r1YUtYx0-,4,535,3,4,342,5,8,224,4,55,Invite to Workshop Track
733,BkPrDFgR-,6,283,3,5,224,4,3,283,5,35,Reject
734,HkpRBFxRb,5,151,3,6,522,4,5,657,4,24,Reject
735,B1l8BtlCb,7,269,4,7,271,4,6,196,4,60,Accept (Poster)
736,SJ1fQYlCZ,4,345,4,6,144,3,4,311,4,56,Reject
737,BJRZzFlRb,8,309,4,6,79,4,7,132,4,108,Accept (Poster)
738,SybqeKgA-,5,515,3,5,228,4,4,735,3,88,Reject
739,SyMvJrdaW,6,159,3,7,52,3,6,631,3,229,Accept (Poster)
740,Hy8hkYeRb,4,144,4,3,651,4,3,136,5,85,Reject
741,SyrGJYlRZ,4,376,3,4,357,5,6,82,1,57,Reject
742,B1IDRdeCW,7,539,4,4,186,3,7,294,4,123,Accept (Poster)
743,B17JTOe0-,8,560,4,9,180,4,8,623,4,53,Accept (Poster)
744,SksY3deAW,5,264,4,4,486,4,5,344,3,80,Reject
745,ry9tUX_6-,6,179,3,6,125,3,6,612,3,111,Reject
746,ryA-jdlA-,2,597,5,3,483,4,3,589,4,18,Reject
747,S1PWi_lC-,5,86,4,4,174,5,5,114,3,18,Reject
748,BJIgi_eCZ,7,299,5,8,167,3,7,421,4,36,Accept (Poster)
749,S1jBcueAb,5,171,4,7,236,4,7,225,3,93,Accept (Poster)
750,Hk9Xc_lR-,6,707,4,3,1075,4,7,211,4,33,Accept (Poster)
751,H18WqugAb,6,375,3,7,206,4,6,384,5,231,Invite to Workshop Track
752,BJaU__eCZ,8,115,5,6,273,4,5,298,3,127,Reject
753,HyUNwulC-,6,60,3,7,241,2,7,201,4,33,Accept (Poster)
754,SkBcLugC-,6,260,3,5,585,4,5,250,4,42,Reject
755,B1uvH_gC-,5,392,5,4,534,4,3,301,4,34,Reject
756,H1vCXOe0b,3,133,3,5,463,3,3,125,4,63,Reject
757,H139Q_gAW,4,529,5,6,266,4,5,460,3,96,Reject
758,SkVqXOxCb,5,438,4,7,237,3,7,238,2,69,Accept (Poster)
759,SJi9WOeRb,7,577,2,7,471,4,6,138,2,79,Accept (Poster)
760,SyJS-OgR-,7,171,4,7,389,3,7,329,4,47,Accept (Poster)
761,BJgPCveAW,4,581,3,5,120,3,4,182,3,71,Reject
762,HJ_X8GupW,4,354,5,3,98,4,4,890,5,63,Reject
763,Hk2MHt-3-,6,259,4,6,316,4,6,440,4,84,Reject
764,By03VlJGG,6,435,4,4,260,4,5,379,5,,
765,SywMS6ZfM,4,217,5,5,479,5,5,656,5,,
766,ryvxcPeAb,4,469,4,5,99,3,5,346,4,67,Reject
767,rkeDJ04Mf,5,459,3,4,326,3,5,463,4,,
768,rkr1UDeC-,8,395,4,4,202,3,6,48,3,107,Accept (Poster)
769,SJOl4DlCZ,7,301,3,4,296,3,4,300,3,136,Reject
770,r1D4bs1Wz,3,408,5,4,224,4,4,383,4,,
771,r1kP7vlRb,7,104,1,4,115,3,7,259,3,340,Reject
772,SJDYgPgCZ,4,275,4,5,235,4,4,574,4,40,Reject
773,B1mAkPxCZ,4,231,3,6,431,4,5,909,4,24,Reject
774,B1nZ1weCZ,5,255,3,7,490,3,7,205,5,185,Accept (Poster)
775,ByJbJwxCW,6,447,4,3,264,3,3,363,5,87,Reject
776,H1meywxRW,7,101,4,6,110,4,8,182,2,53,Accept (Poster)
777,ByJDAIe0b,4,219,4,4,440,3,4,243,3,74,Reject
778,SJjADecmf,6,646,4,4,56,5,5,238,3,,
779,SJ8M9yup-,4,630,3,5,728,4,5,278,4,35,Reject
780,B1Gi6LeRZ,9,328,4,4,430,4,8,113,4,63,Accept (Poster)
781,Sy0GnUxCb,3,1147,3,9,666,5,7,202,4,238,Accept (Poster)
782,SJn0sLgRb,4,222,5,5,416,4,6,127,4,57,Reject
783,ry1arUgCW,7,212,3,6,438,4,6,580,4,112,Accept (Poster)
784,BJLmN8xRW,7,603,4,5,261,3,4,324,4,74,Reject
785,BkM27IxR-,5,372,3,6,342,4,6,409,3,156,Reject
786,B1mSWUxR-,5,114,2,5,202,4,6,610,3,53,Reject
787,rkhlb8lCZ,7,384,4,9,352,3,4,241,4,47,Accept (Poster)
788,rJ7yZ2P6-,6,172,3,3,221,5,5,654,4,44,Reject
789,SJ19eUg0-,6,440,4,4,179,4,6,180,4,132,Reject
790,H1bhRHeA-,5,418,4,5,221,3,5,208,4,143,Reject
791,rknt2Be0-,9,618,4,3,1307,4,6,361,3,201,Accept (Poster)
792,r11Q2SlRW,7,243,3,7,728,5,6,310,5,234,Accept (Poster)
793,SJa9iHgAZ,6,124,3,5,298,5,7,384,4,36,Accept (Poster)
794,H1vrqSxAb,4,704,5,5,257,4,5,204,5,17,Reject
795,rybDdHe0Z,4,822,5,6,218,5,3,303,4,79,Reject
796,SJiHOSeR-,2,332,5,3,441,4,3,440,4,29,Reject
797,SJLy_SxC-,6,271,4,6,264,4,5,291,4,194,Reject
798,Hy3MvSlRW,4,519,5,5,576,5,5,235,4,100,Reject
799,H1-IBSgMz,6,150,3,2,591,4,3,126,5,,
800,SJ1nzBeA-,4,285,4,6,269,4,7,315,4,58,Accept (Poster)
801,H1pri9vTZ,7,33,1,3,235,4,4,391,3,48,Reject
802,SkFEGHx0Z,5,158,4,3,449,4,4,461,4,181,Reject
803,SkYibHlRb,4,336,5,7,109,4,5,419,5,142,Reject
804,B1Yy1BxCZ,6,562,4,7,176,4,6,863,4,107,Accept (Poster)
805,r1RF3ExCb,5,188,3,5,114,2,8,222,4,53,Reject
806,rylejExC-,3,189,4,4,350,4,7,232,3,203,Reject
807,BJNRFNlRW,7,434,4,6,151,4,7,106,3,102,Accept (Poster)
808,rJIN_4lA-,4,844,4,4,577,4,3,314,5,85,Reject
809,SJvrXqvaZ,4,152,4,4,310,4,4,101,4,46,Reject
810,rJv8PEgAZ,5,159,3,5,369,3,4,602,4,75,Reject
811,rJ7RBNe0-,5,199,3,4,307,3,2,301,3,131,Reject
812,BJ4prNx0W,5,253,4,4,281,4,5,347,2,22,Reject
813,SyELrEeAb,5,725,5,6,334,5,6,407,5,128,Accept (Poster)
814,H1UOm4gA-,7,524,4,6,588,4,6,239,4,80,Accept (Poster)
815,r1AoGNlC-,6,640,4,5,644,3,6,484,4,38,Reject
816,B1G6uM0WG,3,972,4,3,618,5,3,385,5,,
817,BywyFQlAW,5,277,3,6,405,4,6,285,3,79,Accept (Poster)
818,Hk2aImxAb,8,183,4,7,296,4,1,368,4,127,Accept (Oral)
819,HkAClQgA-,8,333,3,7,287,5,6,240,4,110,Accept (Poster)
820,H1zriGeCZ,6,387,4,6,89,3,9,705,5,68,Accept (Poster)
821,S16FPMgRZ,4,240,4,6,395,4,4,113,3,109,Reject
822,S1nQvfgA-,6,249,4,6,477,4,7,900,4,46,Accept (Poster)
823,ByaQIGg0-,5,472,4,7,566,4,4,160,5,104,Invite to Workshop Track
824,HJOQ7MgAW,6,228,4,5,624,5,7,121,3,34,Reject
825,rybAWfx0b,5,309,5,6,290,5,5,368,5,64,Invite to Workshop Track
826,ryOBB6g-M,5,314,2,4,391,4,3,291,5,,
827,BJMuY-gRW,5,294,4,6,221,4,4,357,4,91,Reject
828,SJaP_-xAb,7,442,4,8,465,3,6,707,3,69,Accept (Poster)
829,Hk8XMWgRb,7,185,3,6,278,5,4,625,5,76,Accept (Poster)
830,HkMCybx0-,4,261,4,5,353,4,3,331,4,48,Reject
831,r1h2DllAW,6,101,1,5,386,4,5,195,4,50,Reject
832,B1n8LexRZ,7,262,4,6,101,3,8,466,2,94,Accept (Poster)
833,HyTrSegCb,2,152,5,5,382,4,6,161,5,257,Reject
834,SkffVjUaW,4,377,5,8,431,4,5,209,4,40,Reject
835,HkeJVllRW,6,106,5,5,637,4,5,543,4,62,Reject
836,r1cLblgCZ,2,78,4,2,408,5,4,237,4,98,Reject
837,S1GUgxgCW,4,111,3,5,244,4,6,97,4,43,Reject
838,ByW5yxgA-,5,274,3,6,110,4,6,55,4,44,Reject
839,ByrZyglCb,6,247,4,5,172,3,7,400,3,15,Accept (Poster)
840,r1gs9JgRZ,8,790,4,5,160,3,7,140,4,61,Accept (Poster)
841,ry8lF1xAZ,4,763,5,4,1368,4,4,1368,4,19,Reject
842,BJij4yg0Z,3,814,4,7,1142,4,7,360,3,285,Accept (Poster)
843,SJmAXkgCb,7,289,3,5,117,4,4,262,4,42,Reject
844,HJ_aoCyRZ,6,205,3,4,620,4,7,392,5,120,Accept (Poster)
845,ryZ3KCy0W,3,240,4,3,162,5,4,108,3,18,Reject
846,r1DPFCyA-,5,397,3,5,525,3,5,205,3,190,Reject
847,HyB9Np6WG,6,402,4,4,338,4,5,738,4,,
848,SJd0EAy0b,6,308,4,4,335,4,3,634,4,18,Reject
849,SkFvV0yC-,7,176,4,5,166,2,5,140,3,104,Reject
850,HkMhoDITb,4,264,3,6,257,4,4,647,3,58,Reject
851,BJ_wN01C-,8,177,4,5,260,5,6,344,4,63,Accept (Poster)
852,rkQsMCJCb,4,507,5,4,225,4,4,126,5,45,Reject
853,BJvVbCJCb,5,257,4,5,292,3,5,389,4,59,Reject
854,rJ3fy0k0Z,6,227,4,5,347,4,5,299,3,62,Reject
855,r16u6i_Xz,5,108,4,5,180,5,4,495,4,,
856,H1DGha1CZ,3,78,5,4,225,4,5,140,5,88,Reject
857,SyGT_6yCZ,3,260,4,3,195,4,2,153,4,116,Reject
858,BkpXqwUTZ,3,370,4,2,79,5,2,48,5,9,Reject
859,rkO3uTkAZ,6,580,4,6,326,4,7,659,4,229,Accept (Poster)
860,Hy6GHpkCW,8,365,4,8,210,4,5,365,4,98,Accept (Poster)
861,HJcjQTJ0W,6,159,5,5,198,3,3,454,3,23,Reject
862,ryY4RhkCZ,4,653,5,3,468,4,4,240,3,101,Reject
863,H1Xw62kRZ,5,390,3,6,214,3,7,266,3,344,Accept (Poster)
864,S1m6h21Cb,5,552,3,4,379,5,7,191,2,110,Reject
865,Syl3_2JCZ,3,412,2,4,830,4,4,414,4,32,Reject
866,Hy7EPh10W,4,623,4,5,429,4,6,263,4,89,Reject
867,SkZ-BnyCW,4,506,4,5,100,4,4,54,4,51,Reject
868,r15kjpHa-,5,612,3,2,272,4,5,365,2,82,Reject
869,rkQkBnJAb,8,197,4,6,157,2,6,251,3,89,Accept (Poster)
870,HJzgZ3JCW,7,177,3,7,243,4,8,394,4,117,Accept (Poster)
871,r1PaPUsXM,3,128,3,7,399,2,4,331,4,,
872,HkuGJ3kCb,6,468,5,7,614,4,7,646,4,33,Accept (Poster)
873,SJu63o10b,6,417,4,4,957,5,4,162,4,29,Reject
874,rkvDssyRb,4,248,4,4,728,4,4,772,5,31,Reject
875,SJ2ZjsyC-,2,880,4,3,639,4,4,448,3,56,Reject
876,Sk03Yi10Z,5,488,3,5,255,3,6,210,3,132,Reject
877,r1SuFjkRW,7,230,5,5,199,1,4,337,5,82,Reject
878,SyhcXjy0Z,1,87,5,2,259,4,3,103,5,23,Reject
879,ByZmGjkA-,4,617,5,5,539,3,7,472,4,326,Reject
880,B1tExikAW,5,205,3,3,250,4,4,274,4,115,Reject
881,Sy21R9JAW,7,135,3,6,332,5,7,191,4,105,Accept (Poster)
882,BykJlIAbM,6,303,3,3,363,4,5,190,2,,
883,r1kjEuHpZ,5,579,4,4,303,4,3,704,5,57,Reject
884,BJGWO9k0Z,7,493,3,7,723,3,6,230,1,47,Accept (Poster)
885,SJyEH91A-,7,216,3,7,269,3,7,356,4,87,Accept (Poster)
886,HypkN9yRW,5,414,2,5,465,2,6,426,2,95,Reject
887,Syr8Qc1CW,4,224,4,5,398,4,6,133,5,172,Invite to Workshop Track
888,HktJec1RZ,6,121,3,6,487,4,8,234,5,32,Accept (Poster)
889,Bki1Ct1AW,4,524,4,6,182,3,6,159,3,25,Reject
890,HkbJTYyAb,3,344,5,5,321,4,3,148,4,30,Reject
891,HyyHX4gZM,3,186,5,4,172,3,5,89,3,,
892,S1680_1Rb,6,399,3,4,446,3,8,84,3,117,Reject
893,Bk346Ok0W,7,336,4,4,332,4,3,348,4,65,Reject
894,r1tJKuyRZ,4,324,5,5,439,4,5,267,4,99,Reject
895,rywHCPkAW,5,334,3,7,881,4,6,769,4,88,Accept (Poster)
896,rJqfKPJ0Z,3,27,3,4,281,3,5,135,2,33,Reject
897,rkA1f3NpZ,7,279,3,5,324,3,4,604,4,77,Reject
898,SylJ1D1C-,7,339,4,8,575,4,5,353,4,188,Invite to Workshop Track
899,Bym0cU1CZ,7,589,3,4,227,5,7,144,4,117,Reject
900,SJQO7UJCW,5,508,5,5,343,4,5,195,4,91,Reject
901,rytNfI1AZ,6,70,4,6,187,3,6,116,4,43,Accept (Poster)
902,BkiIkBJ0b,7,397,4,3,1056,5,3,450,4,72,Reject
903,SJZsR7kCZ,6,369,4,4,271,4,5,213,4,184,Reject
904,Skvd-myR-,7,454,5,4,182,4,3,218,5,124,Reject
905,rkhCSO4T-,3,160,4,3,416,5,3,299,4,23,Reject
906,SyBPtQfAZ,3,337,5,3,359,4,3,554,4,88,Reject
907,HkCy2uqQM,2,132,5,4,166,4,3,383,4,,
908,rJ5C67-C-,5,476,3,5,209,3,5,249,4,17,Reject
909,Hymt27b0Z,3,571,4,5,513,4,5,383,4,164,Reject
910,HJ5AUm-CZ,7,254,4,5,368,5,6,65,3,91,Reject
911,SkERSm-0-,5,267,4,3,541,4,2,194,4,67,Reject
912,BJlrSmbAZ,5,447,3,5,331,4,6,471,4,258,Reject
913,HJXyS7bRb,6,849,3,4,576,3,3,244,4,40,Reject
914,SkwAEQbAb,1,276,4,2,142,5,3,423,4,57,Reject
915,B1mvVm-C-,6,993,3,7,699,4,6,412,3,10,Accept (Poster)
916,SkPoRg10b,3,2556,3,6,348,5,7,380,4,86,Reject
917,SJ71VXZAZ,4,303,3,2,128,5,4,436,5,171,Reject
918,H1DkN7ZCZ,8,150,4,4,693,3,5,173,4,245,Invite to Workshop Track
919,ryk77mbRZ,2,363,5,5,478,4,3,173,3,128,Reject
920,HJSA_e1AW,5,600,4,5,242,5,4,175,4,161,Reject
921,BJInMmWC-,4,500,4,5,989,4,5,914,5,100,Reject
922,Bk-ofQZRb,2,310,4,3,809,4,4,292,4,11,Reject
923,rkrqgCWMG,5,205,3,4,256,5,3,163,5,,
924,SJyVzQ-C-,5,344,4,5,224,3,6,292,3,133,Accept (Poster)
925,HJNGGmZ0Z,4,571,5,4,261,4,4,93,5,24,Reject
926,B1lMMx1CW,6,257,3,6,84,4,7,184,3,75,Invite to Workshop Track
927,HJFcmshbM,3,161,5,4,97,4,4,396,4,,
928,H1kMMmb0-,4,1293,4,3,164,4,2,360,4,260,Reject
929,rJIgf7bAZ,3,341,4,3,380,5,4,167,4,25,Reject
930,r1ayG7WRZ,2,645,4,4,502,5,3,117,5,27,Reject
931,H1Nyf7W0Z,4,285,5,4,483,1,4,318,3,163,Reject
932,ByED-X-0W,4,630,4,6,354,4,4,600,4,38,Reject
933,rJk51gJRb,5,123,2,5,381,4,5,401,4,187,Invite to Workshop Track
934,HkCvZXbC-,5,532,5,4,940,4,4,185,5,149,Reject
935,ByuI-mW0W,5,531,3,6,307,3,4,198,4,151,Reject
936,H1BHbmWCZ,3,102,4,2,356,3,2,35,4,14,Reject
937,SkqV-XZRZ,4,538,4,7,214,3,6,503,4,291,Reject
938,HJCXZQbAZ,4,258,3,6,295,4,8,318,5,96,Accept (Poster)
939,SkrHeXbCW,4,443,5,4,630,5,4,385,4,39,Reject
940,S1ANxQW0b,7,484,5,6,170,1,5,288,4,50,Accept (Poster)
941,SJa1Nk10b,7,203,2,5,448,3,5,254,4,109,Reject
942,B1EGg7ZCb,3,263,5,3,520,3,4,524,4,76,Reject
943,SyBBgXWAZ,4,286,3,6,384,3,6,584,4,99,Reject
944,HJdXGy1RW,4,718,5,5,100,4,4,338,5,72,Reject
945,SkiCjzNTZ,3,1153,4,3,881,3,3,154,3,30,Reject
946,rJ6iJmWCW,5,541,4,3,200,4,4,246,4,40,Reject
947,Syt0r4bRZ,2,332,4,5,286,4,4,76,4,40,Reject
948,Hyp-JJJRW,3,306,5,3,218,5,4,187,3,88,Reject
949,HkPCrEZ0Z,5,430,4,5,226,4,4,614,3,22,Reject
950,rkZB1XbRZ,6,183,1,6,244,4,7,408,3,204,Accept (Poster)
951,HJ8W1Q-0Z,3,182,5,5,451,4,4,152,4,69,Reject
952,Sk4w0A0Tb,4,323,4,6,222,3,5,310,4,58,Invite to Workshop Track
953,HknbyQbC-,4,560,4,6,154,4,7,172,3,167,Reject
954,Sy3fJXbA-,5,362,5,5,154,4,5,213,4,61,Reject
955,BkrsAzWAb,6,341,4,7,256,3,7,248,4,46,Accept (Poster)
956,SkYXvCR6W,4,195,5,3,243,5,2,50,5,92,Reject
957,r1kj4ACp-,2,453,3,3,277,3,6,65,2,25,Reject
958,S1q_Cz-Cb,4,334,5,5,773,4,4,423,3,56,Reject
959,SyZI0GWCZ,7,428,4,7,504,4,8,155,3,89,Accept (Poster)
960,Byht0GbRZ,6,180,4,5,185,4,5,254,4,81,Reject
961,B1KFAGWAZ,5,714,5,5,248,4,4,414,3,112,Reject
962,BJ7d0fW0b,6,1209,3,5,556,5,6,468,4,37,Reject
963,rk1FQA0pW,4,447,4,5,910,4,6,140,3,118,Reject
964,ryazCMbR-,2,877,4,6,453,4,9,284,5,110,Accept (Poster)
965,rJSr0GZR-,6,180,3,5,300,3,6,184,4,457,Reject
966,rkeZRGbRW,5,374,4,4,227,4,6,406,3,60,Reject
967,H11lAfbCW,3,598,5,4,690,5,4,569,5,57,Reject
968,HkmaTz-0W,5,304,4,4,151,3,5,330,3,101,Invite to Workshop Track
969,SJD8YjCpW,4,184,4,4,103,4,4,38,4,24,Reject
970,HyiRazbRb,2,490,4,3,334,3,2,837,4,43,Reject
971,SyZipzbCb,9,515,4,6,334,5,5,314,4,42,Accept (Poster)
972,H1-oTz-Cb,2,241,4,4,471,4,4,362,5,18,Reject
973,Hyig0zb0Z,3,680,5,6,120,5,4,658,4,92,Reject
974,HyI5ro0pW,5,386,4,6,728,4,4,226,3,52,Reject
975,BkUp6GZRW,7,182,4,6,396,3,5,691,4,107,Accept (Poster)
976,BkLhaGZRW,6,585,3,7,344,4,4,467,3,73,Accept (Poster)
977,H1U_af-0-,4,114,3,7,411,5,6,326,4,85,Reject
978,SkNQeiRpb,4,567,5,3,133,4,6,109,4,53,Reject
979,B1CEaMbR-,2,127,5,3,220,5,3,194,4,51,Reject
980,S1NHaMW0b,5,206,2,4,330,4,4,775,3,56,Reject
981,BJgVaG-Ab,5,550,4,3,361,4,4,376,3,98,Reject
982,HJg1NTGZRZ,4,77,5,3,180,4,4,486,4,55,Reject
983,S1lN69AT-,5,271,4,5,558,4,5,573,5,114,Invite to Workshop Track
984,BkabRiQpb,7,525,3,5,585,4,6,491,4,105,Accept (Poster)